event_type,n,mean_norm_brier,mean_norm_market_brier,mean_norm_improvement,ci95_low,ci95_high,beat_market_rate,avg_num_outcomes
multiclass,84,0.03449052680805134,0.11381336706561615,0.07932284025756478,0.04094580641609934,0.12519558241746714,0.7023809523809523,11.642857142857142
multi-label,74,0.049990430335470286,0.04986712146822066,-0.00012330886724962355,-0.009519333177843122,0.007754572079924401,0.5,30.554054054054053
binary,46,0.06198741304347827,0.09448695652173911,0.032499543478260874,-0.007876390760869573,0.07969821467391304,0.7391304347826086,2.0
